,period,reporterCode,mirrorPrimaryValue,mirrorNetWgt,primaryValue,netWgt
13853,201706,842,"{24: 87465458.86, 76: 222095836.0, 218: 228523069.9, 124: 3835802580.552, 372: 12095291.523, 96: 11682545.083, 643: 38492298.11, 170: 311895687.78, 764: 899.98, 68: 11377689.43, 579: 80242080.782, 784: 5.174, 484: 927518416.0, 360: 50982026.0, 156: 16836339.0}","{24: 1870469.0, 76: 725897000.0, 218: 803498000.0, 124: 10281808764.307, 372: 39995300.0, 96: 31189425.864, 643: 100101000.0, 170: 1084020000.0, 764: 450.0, 68: 37445900.0, 579: 215002100.0, 784: 1.0, 484: 2486198592.972, 360: 143419800.0, 156: 45129543.102}","{44: 111847308.0, 702: 49269000.0, 292: 16225000.0, 764: 33056785.0, 528: 90804957.0, 826: 116724179.0, 156: 224983372.0, 380: 62412048.0, 124: 573957119.0, 0: 1303954768.0, 410: 24675000.0}","{44: 323945010.0, 702: 152799000.0, 292: 46905000.0, 764: 111348972.0, 528: 282225000.0, 826: 376846059.0, 156: 731928993.0, 380: 205723581.0, 124: 1815246555.0, 0: 4126468170.0, 410: 79500000.0}"
13854,201707,842,"{579: 69473070.687, 218: 10.0, 376: 1000.0, 76: 349952242.0, 784: 80.054, 170: 278220748.37, 320: 8655042.0, 764: 13856955.25, 124: 3641044402.785, 643: 43789312.5, 704: 28119531.0, 484: 897628772.0, 360: 52524590.66, 24: 231073860.19}","{579: 191716500.0, 218: 34.0, 376: 2669.746, 76: 1263681000.0, 784: 2.0, 170: 969158000.0, 320: 38239700.0, 764: 38170205.0, 124: 9759762517.915, 643: 136939000.0, 704: 75373962.61, 484: 2406079870.178, 360: 141261000.0, 24: 4855228.0}","{528: 41974737.0, 124: 613944913.0, 0: 1427835575.0, 170: 22870000.0, 392: 73783229.0, 44: 48000000.0, 826: 162282002.0, 724: 41868043.0, 32: 17029226.0, 458: 178154096.0, 710: 21575000.0, 591: 33715071.0, 156: 125165625.0, 410: 47473633.0}","{528: 111233061.0, 124: 2056979820.0, 0: 4713079113.0, 170: 79500000.0, 392: 241921680.0, 44: 127200000.0, 826: 501822603.0, 724: 162912990.0, 32: 45127380.0, 458: 631180551.0, 710: 84860685.0, 591: 111300159.0, 156: 397059411.0, 410: 161980773.0}"
13855,201708,842,"{516: 0.756, 124: 128019279.773, 251: 11.806, 704: 24467475.65, 24: 118439351.21, 764: 1228.41, 360: 44189964.0, 826: 39910366.271, 579: 240886282.932, 170: 387710519.99, 218: 347566465.2, 76: 171228237.0, 604: 25644312.93, 780: 89.944, 392: 6186173.799, 702: 8.085, 36: 2011.161, 484: 782681364.0}","{516: 2.0, 124: 343153675.177, 251: 16.0, 704: 65584685.42, 24: 2310228.0, 764: 0.0, 360: 126112000.0, 826: 79362700.0, 579: 634855000.0, 170: 1297970000.0, 218: 1136000000.0, 76: 610965000.0, 604: 85122500.0, 780: 53.0, 392: 16364700.0, 702: 2.619, 36: 3.0, 484: 2097965142.637}","{76: 34229224.0, 458: 43763418.0, 124: 384755372.0, 528: 45794893.0, 0: 1238516782.0, 392: 29165488.0, 826: 141954905.0, 44: 53825000.0, 410: 97089910.0, 156: 224424475.0, 699: 111690208.0, 170: 25434339.0, 702: 46389550.0}","{76: 109506003.0, 458: 137544699.0, 124: 1350582411.0, 528: 163626900.0, 0: 4028710200.0, 392: 82657104.0, 826: 437555439.0, 44: 145485000.0, 410: 318488130.0, 156: 716131548.0, 699: 364920900.0, 170: 79279785.0, 702: 122932281.0}"
13856,201709,842,"{156: 72961476.0, 124: 182662196.588, 484: 673772831.0, 320: 21061520.0, 31: 53500043.91, 246: 4.766, 710: 52510112.741, 826: 28173940.549, 170: 251002769.88, 360: 70807082.72, 68: 12481091.52, 780: 30.087, 218: 266367732.4, 604: 4.0, 24: 101531692.0, 579: 18227577.968, 76: 392185152.0, 643: 100630607.61, 702: 41.491, 208: 4751357.514}","{156: 195572094.142, 124: 489623158.216, 484: 1806037524.989, 320: 82743300.0, 31: 141313000.0, 246: 12.775, 710: 1060000.0, 826: 74977200.0, 170: 796403000.0, 360: 181239000.0, 68: 36859100.0, 780: 11.0, 218: 800365000.0, 604: 13.3, 24: 1854885.0, 579: 38065000.0, 76: 1348701000.0, 643: 265133000.0, 702: 30.0, 208: 85000000.0}","{380: 131270738.0, 170: 45878538.0, 410: 237562378.0, 0: 2293150259.0, 528: 133793946.0, 76: 70159674.0, 757: 5500000.0, 124: 532364639.0, 699: 129269630.0, 724: 44050215.0, 826: 197598904.0, 392: 32629240.0, 764: 30000000.0, 251: 83414148.0, 44: 70772021.0, 702: 119864604.0, 156: 429021584.0}","{380: 368887950.0, 170: 142713789.0, 410: 714911064.0, 0: 6980033538.0, 528: 393732336.0, 76: 219180069.0, 757: 16663518.0, 124: 1673781711.0, 699: 395979165.0, 724: 154872042.0, 826: 576069720.0, 392: 86467539.0, 764: 95400000.0, 251: 255349230.0, 44: 237731235.0, 702: 370608330.0, 156: 1277685840.0}"
13857,201710,842,"{484: 888321263.0, 124: 4132836256.612, 76: 177231501.0, 170: 366040928.19, 24: 56462573.03, 68: 15059581.78, 288: 60536393.602, 218: 341353243.3, 643: 14563934.67, 780: 104.978, 360: 78047806.0, 579: 68514983.245, 320: 10779060.0, 764: 134.96, 704: 11357979.38, 826: 50657776.339}","{484: 2381131238.021, 124: 11078002882.664, 76: 600871000.0, 170: 1003600000.0, 24: 0.0, 68: 37366600.0, 288: 141592000.0, 218: 964074000.0, 643: 39960000.0, 780: 26.0, 360: 197080000.0, 579: 177296000.0, 320: 36606100.0, 764: 8.0, 704: 30444885.909, 826: 123889000.0}","{768: 47632677.0, 76: 73107866.0, 124: 466098739.0, 699: 43946337.0, 780: 27340377.0, 344: 103587247.0, 410: 80573837.0, 724: 69055609.0, 764: 39519536.0, 380: 177376585.0, 490: 88432009.0, 826: 216447781.0, 0: 2929193842.0, 392: 58797376.0, 616: 32357980.0, 757: 37423297.0, 251: 193872459.0, 170: 26695103.0, 528: 305006346.0, 792: 25000000.0, 32: 14238599.0, 156: 762147457.0, 579: 40536625.0}","{768: 158378469.0, 76: 213063180.0, 124: 1409724369.0, 699: 131896224.0, 780: 90282903.0, 344: 316257360.0, 410: 242174172.0, 724: 195841572.0, 764: 111431970.0, 380: 511487736.0, 490: 166845060.0, 826: 624647400.0, 0: 8478990774.0, 392: 158944191.0, 616: 93543993.0, 757: 105294570.0, 251: 540436230.0, 170: 79292346.0, 528: 893710062.0, 792: 80747037.0, 32: 45278748.0, 156: 2202291192.0, 579: 107421990.0}"
13858,201711,842,"{360: 48166081.0, 124: 4102386785.084, 764: 9.97, 218: 199887071.7, 710: 124152205.588, 579: 34526053.508, 484: 1036567401.0, 170: 296226236.59, 76: 77365970.0, 826: 76551605.846, 458: 14536064.148, 24: 219518556.99, 320: 12986412.0, 780: 65974012.104, 643: 39343554.84, 704: 12649621.0}","{360: 109747000.0, 124: 10996383550.947, 764: 10.0, 218: 521239000.0, 710: 280640000.0, 579: 72046000.0, 484: 2778502690.007, 170: 879380000.0, 76: 265003000.0, 826: 182221700.0, 458: 34289800.0, 24: 0.0, 320: 40525000.0, 780: 0.0, 643: 90594000.0, 704: 33907111.05}","{251: 71585959.0, 528: 169693258.0, 724: 47780612.0, 0: 2700217426.0, 32: 31042719.0, 490: 135491820.0, 156: 584358353.0, 344: 28571788.0, 702: 21878648.0, 124: 691353521.0, 380: 103307767.0, 764: 39735065.0, 76: 43578400.0, 410: 255065143.0, 170: 23703688.0, 392: 57937115.0, 826: 395133570.0}","{251: 183610974.0, 528: 463931154.0, 724: 144340995.0, 0: 7365433479.0, 32: 92067201.0, 490: 333413460.0, 156: 1586924940.0, 344: 75715164.0, 702: 55650000.0, 124: 1961696367.0, 380: 305814240.0, 764: 102817668.0, 76: 120840000.0, 410: 674888220.0, 170: 75377766.0, 392: 160364220.0, 826: 1027981110.0}"
13859,201712,842,"{724: 50.374, 76: 182409000.0, 643: 4097629.56, 124: 333095312.479, 218: 245.0, 384: 32426563.173, 170: 531000730.63, 360: 84991953.84, 764: 19.99, 528: 30.773, 251: 1.184, 484: 1217403281.0}","{724: 5.0, 76: 524588000.0, 643: 9435360.0, 124: 892856770.199, 218: 9.0, 384: 85708500.0, 170: 1395670000.0, 360: 189321000.0, 764: 1.0, 528: 50.0, 251: 1.147, 484: 3263230435.202}","{531: 103258473.0, 699: 65000000.0, 784: 41680925.0, 0: 2800537753.0, 724: 110160617.0, 826: 352769993.0, 410: 88589777.0, 528: 244958888.0, 702: 30737713.0, 251: 85847262.0, 490: 105313121.0, 170: 25267266.0, 344: 30750000.0, 32: 24150000.0, 156: 526436776.0, 392: 18765000.0, 764: 33745833.0, 124: 788756573.0, 380: 124349536.0}","{531: 321948924.0, 699: 159000000.0, 784: 115578372.0, 0: 7502229924.0, 724: 286107621.0, 826: 910825140.0, 410: 245524620.0, 528: 711142605.0, 702: 78397494.0, 251: 209041434.0, 490: 257500500.0, 170: 80350014.0, 344: 79500000.0, 32: 76797000.0, 156: 1383344520.0, 392: 47700000.0, 764: 107311803.0, 124: 2082844827.0, 380: 349315050.0}"
13860,201801,842,"{218: 307296849.37, 268: 200.0, 24: 66697146.15, 31: 68177111.84, 76: 277938482.0, 360: 28798891.0, 484: 1084489636.0, 764: 40.97, 320: 15132150.0, 826: 160626848.125, 702: 9.834, 704: 14910284.86, 124: 5139796090.985, 170: 576923051.59}","{218: 709581000.0, 268: 38.0, 24: 951048.0, 31: 139692000.0, 76: 728686000.0, 360: 64458100.0, 484: 2232049434.175, 764: 41.0, 320: 41952600.0, 826: 388645000.0, 702: 10.0, 704: 30687700.26, 124: 10578504926.035, 170: 1424360000.0}","{764: 19234450.0, 380: 175487850.0, 528: 196438954.0, 620: 37493954.0, 170: 61655791.0, 724: 54850972.0, 531: 84943310.0, 32: 40963366.0, 124: 762991782.0, 156: 658194369.0, 579: 77411449.0, 826: 51705585.0, 699: 66612802.0, 76: 12121302.0, 558: 12264524.0, 490: 230894770.0, 0: 2543265230.0}","{764: 61165551.0, 380: 472225707.0, 528: 525678645.0, 620: 99358941.0, 170: 156796737.0, 724: 142093053.0, 531: 226030743.0, 32: 121066734.0, 124: 2102211981.0, 156: 1627589031.0, 579: 205119063.0, 826: 164423490.0, 699: 158935128.0, 76: 29868468.0, 558: 39001110.0, 490: 581585430.0, 0: 6713149812.0}"
13861,201802,842,"{218: 137077494.34, 233: 75560.958, 251: 14.813, 124: 4022127420.764, 170: 361495700.89, 360: 77931722.88, 484: 1183974085.0, 764: 59.98, 784: 40.027, 68: 17164654.86, 76: 19493250.0, 288: 69911915.653, 826: 160122029.425, 704: 33767722.7, 710: 6335.325}","{218: 335171000.0, 233: 121462.0, 251: 30.487, 124: 8278167845.668, 170: 908010000.0, 360: 151979000.0, 484: 2436804003.263, 764: 32.0, 784: 264.0, 68: 36721100.0, 76: 58387500.0, 288: 134652000.0, 826: 313557000.0, 704: 69499259.231, 710: nan}","{757: 105288316.0, 251: 87791092.0, 380: 144259553.0, 699: 27803962.0, 156: 704042665.0, 531: 83285953.0, 724: 30059156.0, 214: 17468144.0, 826: 175452760.0, 579: 54770854.0, 528: 171477153.0, 702: 14988644.0, 124: 854959114.0, 410: 239726336.0, 458: 31066944.0, 558: 13750000.0, 208: 29639887.0, 764: 34037942.0, 0: 2965447589.0, 76: 50435463.0, 44: 43283483.0, 490: 51860168.0}","{757: 253399890.0, 251: 224170920.0, 380: 408378462.0, 699: 88416561.0, 156: 1832036160.0, 531: 194313105.0, 724: 83071458.0, 214: 39677655.0, 826: 437175906.0, 579: 152617263.0, 528: 414582960.0, 702: 47663907.0, 124: 2308568859.0, 410: 570511875.0, 458: 79479330.0, 558: 43680480.0, 208: 78545682.0, 764: 108240681.0, 0: 7725638280.0, 76: 122375145.0, 44: 120935241.0, 490: 117796740.0}"
13862,201803,842,"{643: 78080326.78, 579: 109091625.08, 170: 308964834.95, 124: 274150947.824, 218: 294582470.05, 360: 66088629.22, 24: 261487325.088, 780: 20.053, 76: 160467678.0, 31: 44466922.5, 826: 86801368.74, 642: 167.09, 484: 1115289226.0, 704: 19745915.35}","{643: 157570000.0, 579: 221975000.0, 170: 752295000.0, 124: 564245565.523, 218: 752748000.0, 360: 141252000.0, 24: 3901876.0, 780: 2.0, 76: 413292000.0, 31: 58341900.0, 826: 173957000.0, 642: 0.0, 484: 2295439811.686, 704: 40640184.766}","{156: 916036470.0, 710: 57501278.0, 702: 32501417.0, 410: 185082372.0, 124: 832530800.0, 458: 31037313.0, 490: 73809263.0, 784: 12247378.0, 528: 112519328.0, 0: 3823910676.0, 826: 475547651.0, 699: 473454067.0, 724: 28931020.0, 251: 93018859.0, 616: 98301406.0, 764: 20031934.0, 170: 26286358.0, 208: 28529603.0, 380: 326544159.0}","{156: 2313852429.0, 710: 161235540.0, 702: 103354452.0, 410: 458241180.0, 124: 2152919307.0, 458: 79403646.0, 490: 184090836.0, 784: 32455557.0, 528: 279956547.0, 0: 9706997700.0, 826: 1163607315.0, 699: 1154228064.0, 724: 79144635.0, 251: 232035060.0, 616: 260131950.0, 764: 63701601.0, 170: 83590593.0, 208: 90724128.0, 380: 814324860.0}"
